008,100,245,500,856,LDR
070529s9999    xx            000 0 und d,"Stuart, John McDouall, 1815-1866.",Explorations in Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00040.html,00322nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Sturt, Charles, 1795-1869.",Narrative of an Expedition into Central Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00058.html,00339nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Sturt, Charles, 1795-1869.",Two Expeditions into the Interior of Southern Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00059.html,00345nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Swinburne, Gwendolen H. (Gwendolen Hamer).",A Source Book of Australian History [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00094.html,00341nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Tench, Watkin, 1758 or 9-1833.",A Narrative of the Expedition to Botany Bay [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00083.txt,00336nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Tench, Watkin, 1758 or 9-1833.",A Complete Account of the Settlement at Port Jackson [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00084.txt,00345nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Twopenny, R. E. N., 1857-1915.",Town Life in Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00100.txt,00315nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Wentworth, W. C. (William Charles), 1907-2003.","Statistical, Historical and Political Description of the Colony of New South Wales [electronic resource].",An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00068.html,00393nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Westgarth, William, 1815-1889.",Personal Recollections of Early Melbourne & Victoria [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00090.txt,00345nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Wills, William John, 1834-1861.",Successful Exploration through the Interior of Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00060.html,00351nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Afford, Malcolm, 1906-1954.",The Gland Men of the Island [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0603581h.html,00325nam  2200085ua 45e0
070529s9999    xx            000 0 und d,,Memoirs of William Cox (extract) [electronic resource] / by Anonymous.,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400191.txt,00299nam  2200073ua 45e0
070529s9999    xx            000 0 und d,,The Monster Mine [electronic resource] / Anonymous.,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600901h.html,00282nam  2200073ua 45e0
070529s9999    xx            000 0 und d,"Banfield, E. J. (Edmund James), 1852-1923.",Last Leaves from Dunk Island [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks03/0300451.txt,00340nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Banks, Joseph, Sir, 1743-1820.",The Endeavour Journal of Sir Joseph Banks [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0501141h.html,00343nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Barrington, George, 1755-1804.",A Voyage to Botany Bay [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607421h.html,00323nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Barrington, George, 1755-1804.",A Sequel To A Voyage to Botany Bay [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607431h.html,00335nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Barton, G. B. (George Burnett), 1836-1901.",The Troubles Of Australian Federation [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607041h.html,00351nam  2200085ua 45e0
